Total images: 18594
Total colony/year combos: 1041

Colony                                             Year   Count
Isle_au_Pitre                                      2012   4
Laguna_Vista_Spoils_B                              2021   4
Little_Mud_Grass_Island                            2013   4
Long_Reef_Deadman_Islands_B                        2010   4
Lower_Arsnicker_Key                                2010   4
Martin_Island                                      2013   4
Matanzas_Pass_Spoil_Island                         2010   4
Motiva_West_7th                                    2010   4
Naval_Air_Station_Islands_O                        2021   4
New_Harbor_Island_2                                2018   4
Pelican_Island                                     2012   4
Peterson_Key                                       2010   4
Rabbit_Key                                         2010   4
Redfish_Bend                                       2010   4
Second_Chain_of_Islands_I                          2021   4
Ship_Island_East                                   2015   4
Skimmer_Island                                     2018   4
Terrebonne_Bay_8                                   2013   4
Turtle_Pen_Isle                                    2011   4
Turtle_Pen_Isle                                    2013   4
Upper_Arsnicker_Key                                2010   4
Veterans_Key                                       2010   4
West_Nueces_Bay_51W_A                              2021   4
Audubon_Island                                     2013   3
Barataria_Bay_13                                   2011   3
Barataria_Bay_13                                   2013   3
Barataria_Bay_6                                    2011   3
Barataria_Bay_9                                    2010   3
Battery_McIntosh                                   2021   3
Belle_Pass_East                                    2018   3
Belle_Pass_East                                    2021   3
Belle_Pass_West                                    2011   3
Biloxi_North_10_B                                  2011   3
Biloxi_North_10_D                                  2013   3
Biloxi_North_10_D                                  2018   3
Biloxi_North_11                                    2011   3
Biloxi_North_11                                    2015   3
Biloxi_North_12                                    2010   3
Biloxi_North_28                                    2010   3
Biloxi_North_30_A                                  2011   3
Biloxi_North_42                                    2012   3
Biloxi_South_10_B                                  2011   3
Biloxi_South_14                                    2021   3
Biloxi_South_17                                    2012   3
Biloxi_South_20                                    2021   3
Biloxi_South_5_A                                   2021   3
Biloxi_South_6                                     2013   3
Biloxi_South_9                                     2010   3
Biloxi_South_9                                     2018   3
Birdsfoot_East_4                                   2018   3
Birdsfoot_West_5                                   2013   3
Bird_Keys_Islet                                    2010   3
Cat_Bay_South_Island                               2015   3
Chandeleur_North_A                                 2012   3
Chandeleur_North_C                                 2010   3
Chandeleur_North_C                                 2011   3
Chandeleur_North_C                                 2012   3
Chandeleur_North_C                                 2021   3
Chandeleur_North_E                                 2013   3
Chandeleur_North_F                                 2021   3
Chandeleur_North_G                                 2011   3
Chandeleur_South_A                                 2011   3
Chandeleur_South_B                                 2015   3
Chandeleur_South_B                                 2018   3
Chandeleur_South_C                                 2011   3
Chandeleur_South_F                                 2015   3
Crooked_Island_South                               2021   3
Dauphin_Island_2                                   2010   3
Freemason_Island                                   2013   3
Freemason_Island                                   2015   3
